,average_effective_entropy_bits,average_challenge_length,user_verification,unique_challenge_count
888,3528.57,597.0,required,4
889,716.52,128.0,discouraged,5
890,713.75,128.0,discouraged,5
891,153.85,32.0,required,5
892,3519.43,597.0,required,5
893,3521.94,597.0,required,5
894,3509.64,597.0,required,5
895,721.31,128.0,discouraged,5
896,3525.88,597.0,required,3
897,160.0,32.0,required,1
898,3512.03,597.0,required,5
899,3516.21,597.0,required,5
900,719.8,128.0,discouraged,5
901,3516.81,597.0,required,5
902,3510.96,597.0,required,5
903,157.2,32.0,discouraged,5
904,3522.06,597.0,required,5
905,3522.18,597.0,required,5
906,718.13,128.0,discouraged,5
907,3515.61,597.0,required,5
908,3514.06,597.0,required,5
909,713.47,128.0,discouraged,5
910,3510.84,597.0,required,5
911,3511.2,597.0,required,5
912,718.95,128.0,discouraged,5
913,3520.39,597.0,required,5
914,3517.29,597.0,required,5
915,157.21,32.0,required,10
916,3507.02,597.0,required,5
917,158.02,32.0,required,1
918,229.66,60.0,required,10
919,3520.75,597.0,required,5
920,3518.72,597.0,required,5
921,3520.39,597.0,required,5
922,716.95,128.0,discouraged,5
923,3513.94,597.0,required,5
924,718.72,128.0,discouraged,5
925,3524.33,597.0,required,5
926,3524.45,597.0,required,5
927,723.74,128.0,discouraged,5
928,3524.21,597.0,required,5
929,711.14,128.0,discouraged,5
930,3511.32,597.0,required,5
931,3516.21,597.0,required,5
932,3514.3,597.0,required,5
933,3508.45,597.0,required,5
934,715.29,128.0,discouraged,5
935,3518.12,597.0,required,5
936,156.0,32.0,unknown,1
937,3522.3,597.0,required,5
938,714.65,128.0,discouraged,5
939,156.65,32.0,preferred,5
940,3523.97,597.0,required,5
941,3516.33,597.0,required,5
942,3517.64,597.0,required,5
943,3518.0,597.0,required,5
944,3514.42,597.0,required,5
945,709.3,128.0,discouraged,5
946,3510.12,597.0,required,5
947,162.47,33.0,discouraged,5
948,3522.06,597.0,required,5
949,157.61,32.0,required,5
950,3509.17,597.0,required,5
951,3513.23,597.0,required,5
952,718.16,128.0,discouraged,5
953,156.0,32.0,required,1
954,3525.28,597.0,required,5
955,3509.29,597.0,required,5
956,62.4,16.0,unknown,5
957,156.0,32.0,unknown,1
958,718.92,128.0,discouraged,5
959,3518.0,597.0,required,5
960,3510.84,597.0,required,5
961,158.02,32.0,unknown,1
962,719.92,128.0,discouraged,5
963,716.42,128.0,discouraged,5
964,157.2,32.0,required,5
965,3526.0,597.0,required,5
966,3521.34,597.0,required,5
967,3519.91,597.0,required,5
968,228.26,48.13,preferred,10
969,721.31,128.0,discouraged,5
970,368.14,64.0,required,7
971,3517.76,597.0,required,5
972,3516.09,597.0,required,5
973,3509.05,597.0,required,5
974,714.09,128.0,discouraged,5
975,722.64,128.0,discouraged,5
976,721.43,128.0,discouraged,5
977,3511.43,597.0,required,5
978,368.29,64.0,required,15
979,717.54,128.0,discouraged,5
980,715.67,128.0,discouraged,5
981,3516.69,597.0,required,5
982,3516.69,597.0,required,5
983,155.6,32.0,preferred,10
984,144.81,30.0,required,5
985,3513.94,597.0,required,5
986,3520.39,597.0,required,5
987,3515.61,597.0,required,5
988,717.7,128.0,discouraged,5
989,3508.21,597.0,required,5
990,3523.02,597.0,required,5
991,3526.12,597.0,required,5
992,3519.79,597.0,required,5
993,3517.29,597.0,required,5
994,707.43,128.0,discouraged,5
995,3512.15,597.0,required,5
996,716.29,128.0,discouraged,5
997,720.51,128.0,discouraged,5
998,155.23,32.0,required,1
999,3518.96,597.0,required,5
1000,714.01,128.0,discouraged,5
1001,3520.03,597.0,required,5
1002,155.83,32.0,required,9
1003,718.8,128.0,discouraged,5
1004,711.42,128.0,discouraged,5
1005,3519.43,597.0,required,5
1006,3519.08,597.0,required,5
1007,3517.64,597.0,required,5
1008,3518.36,597.0,required,5
1009,3523.26,597.0,required,5
1010,224.83,47.6,preferred,10
