,category,signals,N,odds_ratio,ci_lower,ci_upper,p_value
0,full_fido2,credentials_api_used,15,1407.4,64.5244239483875,30698.06189334452,8.044242325444124e-18
1,full_fido2,credentials_create_summary,15,7.451612903225806,0.14266410551590702,389.2116707193047,1.0
2,full_fido2,network_webauthn,15,7.451612903225806,0.14266410551590702,389.2116707193047,1.0
3,full_fido2,ui_webauthn_keywords_present,15,30.47008547008547,1.7808858684995676,521.3282473494673,0.00012054802294950457
4,full_fido2,shadow_dom_webauthn,15,7.451612903225806,0.14266410551590702,389.2116707193047,1.0
5,full_fido2,cookies_contain_fido,15,0.014810306350172449,0.0008624115475508523,0.25433932883769106,1.886064430785595e-07
6,full_fido2,local_storage_contains_fido,15,1.4545454545454546,0.2898105884856274,7.300293927817503,0.646407988878488
7,full_fido2,session_storage_contains_fido,15,0.014810306350172449,0.0008624115475508523,0.25433932883769106,1.886064430785595e-07
8,full_fido2,fedcm_present,15,7.451612903225806,0.14266410551590702,389.2116707193047,1.0
9,full_fido2,fedcm_detected_via_api,15,0.014810306350172449,0.0008624115475508523,0.25433932883769106,1.886064430785595e-07
10,full_fido2,fido2_indirect_possible,15,7.451612903225806,0.14266410551590702,389.2116707193047,1.0
11,webauthn,credentials_api_used,2,36.61290322580645,1.6785750246718907,798.5968234480886,0.016219439475253426
12,webauthn,credentials_create_summary,2,51.4,0.8391828334864667,3148.253151251585,1.0
13,webauthn,network_webauthn,2,51.4,0.8391828334864667,3148.253151251585,1.0
14,storage,cookies_contain_fido,5,7.604026845637584,0.41141992923499726,140.5406499794287,0.1559114249526949
15,storage,local_storage_contains_fido,5,17.25,2.5740276750861932,115.60190392670741,0.007076967849948988
16,storage,session_storage_contains_fido,5,7.604026845637584,0.41141992923499726,140.5406499794287,0.1559114249526949
17,latent_usage,ui_webauthn_keywords_present,0,0.782312925170068,0.015288420713520929,40.03117943679361,1.0
18,latent_usage,shadow_dom_webauthn,0,261.0,2.1392508915945574,31843.389790163357,1.0
19,latent_usage,cookies_contain_fido,0,0.6477987421383647,0.012653491784032593,33.164221977493526,1.0
20,latent_usage,local_storage_contains_fido,0,8.703703703703704,0.16587660341226995,456.69164067451584,1.0
21,latent_usage,session_storage_contains_fido,0,0.6477987421383647,0.012653491784032593,33.164221977493526,1.0
22,latent_support,fedcm_present,97,0.3435897435897436,0.006684857209964897,17.659900307831062,1.0
23,latent_support,fedcm_detected_via_api,97,10.697142857142858,4.134688126297267,27.67533168422956,1.907008607785807e-07
24,latent_support,fido2_indirect_possible,97,0.3435897435897436,0.006684857209964897,17.659900307831062,1.0
25,latent_support,auth_js_supports_passkey,97,12.506666666666666,4.400838781547599,35.54247698574078,1.0646347401775658e-07
26,fido_only_ui,ui_webauthn_keywords_present,11,21.16,1.2190543433977439,367.2892865071503,0.002372643861157653
27,fido_only_ui,shadow_dom_webauthn,11,10.391304347826088,0.19682017939252164,548.6185734736305,1.0
